iter	Passed	Remaining
0	143	143332
1	144	72003
2	145	48220
3	147	36637
4	148	29598
5	150	24864
6	150	21416
7	151	18806
8	152	16822
9	153	15203
10	154	13865
11	154	12755
12	155	11812
13	158	11153
14	159	10474
15	160	9868
16	162	9370
17	162	8880
18	163	8438
19	164	8038
20	164	7676
21	165	7351
22	165	7051
23	166	6779
24	167	6526
25	167	6290
26	168	6074
27	169	5872
28	169	5684
29	172	5573
30	173	5416
31	174	5263
32	174	5119
33	175	4983
34	176	4874
35	178	4777
36	179	4664
37	179	4553
38	180	4446
39	181	4344
40	181	4248
41	182	4156
42	182	4070
43	184	4019
44	186	3960
45	187	3892
46	189	3835
47	190	3770
48	191	3712
49	192	3649
50	192	3586
51	193	3527
52	194	3469
53	194	3411
54	195	3358
55	196	3306
56	196	3255
57	200	3260
58	203	3242
59	205	3212
60	206	3175
61	207	3132
62	207	3088
63	208	3047
64	209	3009
65	209	2971
66	210	2933
67	211	2896
68	211	2860
69	213	2837
70	214	2805
71	215	2774
72	215	2742
73	216	2712
74	217	2683
75	218	2654
76	218	2624
77	219	2595
78	220	2567
79	220	2539
80	221	2512
81	222	2486
82	222	2457
83	223	2432
84	223	2408
85	224	2384
86	225	2361
87	225	2339
88	226	2317
89	227	2305
90	228	2286
91	229	2268
92	230	2249
93	231	2231
94	233	2220
95	233	2202
96	234	2183
97	235	2166
98	236	2148
99	236	2131
100	237	2115
101	238	2097
102	238	2081
103	239	2064
104	240	2049
105	241	2033
106	246	2054
107	248	2053
108	249	2040
109	250	2026
110	251	2012
111	251	1997
112	252	1983
113	253	1969
114	254	1955
115	254	1942
116	255	1928
117	260	1944
118	261	1933
119	262	1923
120	265	1927
121	266	1917
122	267	1905
123	267	1893
124	268	1881
125	269	1869
126	270	1856
127	273	1860
128	273	1849
129	274	1839
130	276	1832
131	277	1824
132	278	1813
133	278	1802
134	279	1793
135	280	1783
136	281	1773
137	282	1763
138	283	1753
139	283	1743
140	284	1733
141	285	1723
142	286	1718
143	287	1709
144	288	1700
145	289	1692
146	290	1683
147	291	1675
148	292	1673
149	294	1666
150	294	1658
151	295	1649
152	296	1640
153	297	1632
154	297	1624
155	298	1617
156	299	1609
157	301	1606
158	302	1601
159	303	1595
160	304	1585
161	305	1578
162	305	1571
163	306	1563
164	307	1556
165	308	1549
166	309	1542
167	310	1535
168	312	1535
169	313	1528
170	315	1531
171	317	1526
172	318	1521
173	319	1516
174	320	1510
175	321	1503
176	321	1497
177	323	1492
178	324	1487
179	325	1481
180	326	1475
181	328	1477
182	330	1476
183	332	1475
184	333	1470
185	335	1467
186	336	1462
187	337	1456
188	338	1451
189	339	1447
190	340	1441
191	342	1440
192	343	1435
193	345	1435
194	346	1429
195	347	1426
196	349	1424
197	351	1422
198	352	1417
199	353	1412
200	355	1411
201	356	1406
202	359	1412
203	360	1407
204	362	1405
205	363	1399
206	364	1394
207	365	1389
208	366	1388
209	368	1385
210	369	1380
211	369	1374
212	370	1368
213	371	1363
214	372	1358
215	373	1355
216	374	1350
217	375	1345
218	375	1340
219	376	1335
220	377	1330
221	378	1325
222	378	1320
223	379	1315
224	380	1309
225	380	1304
226	381	1300
227	382	1295
228	386	1299
229	390	1305
230	391	1302
231	392	1298
232	392	1293
233	393	1288
234	394	1284
235	395	1280
236	397	1278
237	398	1275
238	398	1270
239	399	1265
240	401	1263
241	402	1259
242	403	1256
243	404	1252
244	404	1247
245	405	1243
246	406	1238
247	407	1234
248	408	1233
249	410	1232
250	411	1227
251	412	1223
252	412	1218
253	413	1214
254	416	1217
255	418	1214
256	419	1211
257	420	1209
258	421	1207
259	422	1203
260	423	1199
261	424	1194
262	424	1190
263	425	1187
264	426	1182
265	427	1178
266	427	1174
267	428	1170
268	430	1169
269	432	1168
270	433	1165
271	434	1162
272	435	1160
273	436	1157
274	437	1152
275	437	1148
276	438	1144
277	439	1140
278	439	1136
279	440	1133
280	441	1129
281	443	1127
282	443	1124
283	444	1121
284	445	1118
285	446	1114
286	447	1111
287	448	1109
288	449	1105
289	450	1102
290	451	1099
291	451	1095
292	452	1091
293	453	1088
294	453	1084
295	454	1080
296	455	1077
297	456	1075
298	458	1073
299	458	1070
300	459	1068
301	460	1065
302	461	1062
303	462	1059
304	463	1055
305	464	1052
306	464	1049
307	465	1046
308	466	1042
309	467	1039
310	468	1036
311	468	1033
312	469	1030
313	470	1027
314	471	1025
315	472	1023
316	474	1021
317	475	1018
318	475	1015
319	477	1015
320	478	1012
321	479	1009
322	480	1006
323	480	1003
324	481	999
325	482	996
326	482	993
327	483	990
328	484	987
329	485	986
330	487	985
331	488	983
332	489	980
333	490	978
334	491	975
335	492	973
336	493	971
337	494	968
338	495	965
339	495	962
340	496	959
341	497	957
342	498	954
343	498	951
344	500	949
345	501	947
346	502	945
347	503	942
348	504	940
349	504	937
350	505	934
351	506	933
352	508	931
353	508	928
354	509	925
355	510	923
356	510	920
357	511	917
358	512	915
359	513	912
360	514	911
361	515	908
362	516	907
363	517	905
364	519	903
365	520	901
366	521	899
367	522	896
368	522	894
369	523	891
370	524	888
371	524	886
372	525	883
373	526	880
374	526	878
375	527	876
376	529	874
377	530	872
378	531	870
379	532	868
380	532	865
381	534	865
382	535	863
383	536	860
384	537	858
385	538	855
386	538	853
387	539	851
388	540	849
389	541	846
390	542	844
391	543	843
392	544	840
393	546	840
394	547	838
395	547	835
396	550	835
397	551	833
398	551	831
399	552	828
400	553	826
401	554	824
402	554	822
403	555	819
404	556	817
405	557	815
406	558	813
407	559	811
408	560	809
409	560	807
410	561	805
411	562	802
412	563	800
413	564	798
414	565	796
415	565	794
416	566	791
417	567	789
418	567	787
419	568	785
420	569	783
421	570	780
422	570	778
423	574	780
424	575	778
425	575	775
426	576	773
427	578	773
428	579	771
429	580	768
430	580	766
431	581	764
432	582	762
433	582	760
434	583	758
435	584	755
436	585	753
437	587	754
438	590	755
439	593	755
440	594	752
441	594	750
442	595	748
443	595	746
444	596	744
445	597	741
446	597	739
447	598	737
448	598	734
449	599	732
450	600	730
451	600	728
452	602	727
453	605	727
454	606	726
455	607	724
456	607	722
457	608	719
458	608	717
459	609	715
460	610	713
461	610	711
462	611	709
463	612	707
464	612	704
465	615	705
466	616	703
467	617	701
468	617	699
469	618	697
470	619	695
471	620	694
472	621	692
473	621	690
474	622	688
475	623	686
476	623	683
477	624	681
478	624	679
479	625	677
480	626	675
481	626	673
482	627	671
483	627	669
484	634	673
485	635	672
486	636	670
487	637	668
488	637	666
489	638	664
490	639	662
491	640	660
492	640	658
493	641	656
494	641	654
495	642	652
496	643	650
497	644	649
498	645	648
499	646	646
500	647	644
501	648	643
502	649	642
503	650	640
504	651	638
505	652	636
506	652	634
507	653	633
508	654	631
509	655	629
510	655	627
511	656	625
512	657	624
513	659	623
514	661	622
515	662	621
516	663	619
517	664	618
518	665	616
519	665	614
520	666	612
521	667	611
522	668	609
523	669	607
524	669	606
525	670	604
526	672	603
527	673	602
528	674	600
529	675	599
530	676	597
531	677	595
532	678	594
533	678	592
534	679	590
535	680	589
536	681	587
537	681	585
538	682	583
539	683	582
540	684	580
541	685	578
542	685	577
543	687	576
544	688	574
545	689	572
546	690	571
547	691	570
548	692	569
549	694	568
550	695	566
551	696	565
552	696	563
553	697	561
554	698	559
555	698	557
556	699	556
557	699	554
558	700	552
559	702	551
560	702	549
561	704	548
562	704	547
563	705	545
564	706	544
565	707	542
566	708	540
567	708	539
568	709	537
569	710	535
570	711	534
571	711	532
572	712	530
573	713	529
574	713	527
575	714	525
576	717	526
577	718	524
578	719	523
579	721	522
580	722	520
581	722	519
582	723	517
583	724	516
584	725	514
585	725	512
586	726	511
587	727	509
588	728	508
589	728	506
590	729	504
591	732	504
592	734	503
593	735	502
594	736	501
595	737	500
596	738	498
597	739	496
598	739	495
599	740	493
600	741	492
601	741	490
602	742	488
603	742	487
604	743	485
605	744	483
606	745	482
607	746	481
608	747	479
609	748	478
610	748	476
611	749	475
612	751	474
613	752	473
614	753	471
615	754	470
616	754	468
617	755	466
618	756	465
619	756	463
620	757	462
621	758	460
622	758	459
623	760	458
624	761	456
625	762	455
626	763	453
627	764	452
628	765	451
629	766	450
630	767	448
631	767	447
632	768	445
633	769	444
634	770	442
635	770	441
636	771	439
637	772	438
638	772	436
639	774	435
640	775	434
641	776	433
642	777	431
643	778	430
644	779	429
645	781	428
646	781	426
647	782	425
648	783	423
649	784	422
650	785	420
651	786	419
652	787	418
653	791	418
654	792	417
655	793	415
656	794	414
657	794	413
658	795	411
659	796	410
660	797	408
661	797	407
662	798	405
663	799	404
664	799	402
665	800	401
666	801	400
667	801	398
668	802	397
669	806	397
670	807	396
671	808	394
672	810	393
673	811	392
674	811	390
675	812	389
676	813	388
677	813	386
678	814	385
679	815	383
680	815	382
681	816	380
682	817	379
683	820	379
684	821	377
685	823	376
686	824	375
687	825	374
688	826	372
689	826	371
690	827	370
691	828	368
692	828	367
693	829	365
694	830	364
695	830	362
696	831	361
697	834	361
698	835	359
699	836	358
700	837	357
701	838	356
702	839	354
703	840	353
704	840	351
705	841	350
706	842	348
707	842	347
708	843	346
709	843	344
710	844	343
711	845	341
712	845	340
713	846	339
714	847	337
715	848	336
716	850	335
717	851	334
718	851	332
719	853	331
720	854	330
721	855	329
722	855	327
723	856	326
724	857	325
725	857	323
726	858	322
727	859	320
728	859	319
729	860	318
730	861	316
731	862	315
732	863	314
733	864	313
734	865	312
735	866	310
736	867	309
737	868	308
738	870	307
739	870	305
740	871	304
741	872	303
742	872	301
743	873	300
744	874	299
745	875	297
746	875	296
747	877	295
748	878	294
749	879	293
750	880	291
751	881	290
752	882	289
753	883	288
754	884	286
755	885	285
756	885	284
757	886	283
758	887	281
759	888	280
760	888	279
761	889	277
762	890	276
763	891	275
764	892	274
765	893	273
766	894	271
767	895	270
768	896	269
769	897	268
770	898	266
771	899	265
772	899	264
773	900	262
774	901	261
775	901	260
776	902	259
777	903	257
778	904	256
779	906	255
780	907	254
781	908	253
782	908	251
783	909	250
784	910	249
785	910	248
786	911	246
787	912	245
788	912	244
789	913	242
790	914	241
791	915	240
792	915	239
793	916	237
794	917	236
795	918	235
796	918	234
797	919	232
798	923	232
799	924	231
800	926	230
801	927	228
802	928	227
803	929	226
804	929	225
805	930	224
806	931	222
807	932	221
808	932	220
809	933	219
810	934	217
811	937	217
812	939	216
813	940	214
814	941	213
815	942	212
816	943	211
817	944	210
818	944	208
819	945	207
820	946	206
821	946	205
822	947	203
823	947	202
824	948	201
825	950	200
826	951	199
827	952	197
828	953	196
829	954	195
830	955	194
831	956	193
832	957	191
833	957	190
834	958	189
835	959	188
836	959	186
837	960	185
838	961	184
839	961	183
840	962	181
841	962	180
842	963	179
843	967	178
844	968	177
845	969	176
846	971	175
847	972	174
848	973	173
849	973	171
850	974	170
851	975	169
852	975	168
853	976	166
854	977	165
855	977	164
856	978	163
857	979	162
858	980	160
859	981	159
860	982	158
861	982	157
862	983	156
863	985	155
864	986	153
865	986	152
866	987	151
867	988	150
868	988	149
869	989	147
870	990	146
871	990	145
872	991	144
873	992	143
874	992	141
875	993	140
876	994	139
877	995	138
878	996	137
879	997	135
880	997	134
881	998	133
882	1000	132
883	1000	131
884	1001	130
885	1002	128
886	1002	127
887	1003	126
888	1004	125
889	1004	124
890	1005	122
891	1005	121
892	1006	120
893	1007	119
894	1007	118
895	1008	117
896	1009	115
897	1010	114
898	1010	113
899	1011	112
900	1012	111
901	1013	110
902	1014	109
903	1015	107
904	1016	106
905	1016	105
906	1017	104
907	1018	103
908	1018	101
909	1019	100
910	1020	99
911	1020	98
912	1021	97
913	1022	96
914	1022	95
915	1023	93
916	1024	92
917	1025	91
918	1026	90
919	1027	89
920	1028	88
921	1028	87
922	1029	85
923	1030	84
924	1031	83
925	1031	82
926	1032	81
927	1032	80
928	1033	78
929	1034	77
930	1034	76
931	1035	75
932	1035	74
933	1036	73
934	1037	72
935	1037	70
936	1038	69
937	1039	68
938	1041	67
939	1042	66
940	1042	65
941	1043	64
942	1044	63
943	1045	62
944	1046	60
945	1047	59
946	1047	58
947	1048	57
948	1049	56
949	1049	55
950	1050	54
951	1050	52
952	1051	51
953	1052	50
954	1053	49
955	1054	48
956	1055	47
957	1056	46
958	1057	45
959	1058	44
960	1059	42
961	1059	41
962	1060	40
963	1061	39
964	1061	38
965	1062	37
966	1063	36
967	1063	35
968	1064	34
969	1064	32
970	1065	31
971	1065	30
972	1066	29
973	1067	28
974	1068	27
975	1069	26
976	1069	25
977	1071	24
978	1072	23
979	1073	21
980	1074	20
981	1075	19
982	1076	18
983	1077	17
984	1077	16
985	1078	15
986	1079	14
987	1079	13
988	1080	12
989	1081	10
990	1081	9
991	1083	8
992	1084	7
993	1085	6
994	1085	5
995	1086	4
996	1087	3
997	1087	2
998	1089	1
999	1090	0
